,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Total Regions
0126 The University of Liverpool Estimated Incoming Inf,0.504,11.7525,1.9469999999999998,0.9675,2.9475,1.152,1.364,1.0675000000000001,0.8745,1.1,23.6765
0228 Liverpool School of Tropical Medicine Estimated Incoming Inf,0.006,0.15,0.0165,0.009,0.015,0.012,0.022000000000000002,0.0175,0.0165,0.0165,0.281
0334 Grŵp Llandrillo Menai Estimated Incoming Inf,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5345,1.5494999999999999
"0024 University of the Arts, London Estimated Incoming Inf",0.132,0.5475,0.341,0.297,0.495,1.122,4.499,1.0850000000000002,0.8085,0.14300000000000002,9.47
0135 London Business School Estimated Incoming Inf,0.0,0.0075,0.0,0.0045,0.015,0.018,0.4235,0.021,0.0,0.0,0.48950000000000005
0151 University of London (Institutes and activities) Estimated Incoming Inf,0.0,0.0075,0.0,0.0,0.0075,0.024,0.08800000000000001,0.0175,0.0055000000000000005,0.0055000000000000005,0.15550000000000003
0202 London Metropolitan University Estimated Incoming Inf,0.042,0.165,0.0935,0.09449999999999999,0.165,0.726,6.9135,0.406,0.1375,0.0495,8.792499999999999
0076 London South Bank University Estimated Incoming Inf,0.048,0.1725,0.099,0.135,0.27,1.8719999999999999,12.177,1.3020000000000003,0.2915,0.07150000000000001,16.438499999999998
0137 London School of Economics and Political Science Estimated Incoming Inf,0.06,0.2925,0.1265,0.1035,0.255,0.42,2.0735,0.4025000000000001,0.2365,0.07150000000000001,4.0415
0138 London School of Hygiene and Tropical Medicine Estimated Incoming Inf,0.0,0.0225,0.011000000000000001,0.013499999999999998,0.0225,0.06,0.374,0.049,0.022000000000000002,0.0055000000000000005,0.58
0152 Loughborough University Estimated Incoming Inf,0.21,1.1625,0.6875,1.6965000000000001,1.74,2.1719999999999997,2.222,1.6520000000000001,0.8745,0.385,12.802
0066 The Manchester Metropolitan University Estimated Incoming Inf,0.828,26.3925,3.2395,1.3275,2.775,0.846,0.759,0.637,0.737,0.8085,38.35
0204 The University of Manchester Estimated Incoming Inf,0.72,13.4775,2.42,1.1025,2.52,1.446,3.102,1.5750000000000002,1.4575,0.8855,28.706
0067 Middlesex University Estimated Incoming Inf,0.066,0.2775,0.198,0.2115,0.375,1.794,11.946,0.7665000000000001,0.2695,0.0825,15.986500000000001
0154 Newcastle University Estimated Incoming Inf,6.276,4.005,3.5694999999999997,1.278,0.915,1.5419999999999998,1.4905000000000002,1.1480000000000001,0.7315,0.231,21.186500000000002
0028 Newman University Estimated Incoming Inf,0.006,0.03,0.0275,0.05399999999999999,3.81,0.03,0.044000000000000004,0.0175,0.0275,0.011000000000000001,4.0575
0027 The University of Northampton Estimated Incoming Inf,0.048,0.1725,0.1375,3.6675,1.2,1.422,2.0515,0.9695,0.165,0.08800000000000001,9.921499999999998
0335 Grŵp NPTC Group Estimated Incoming Inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17600000000000002,0.17600000000000002
0069 University of Northumbria at Newcastle Estimated Incoming Inf,16.02,2.28,3.201,0.5355,0.2625,0.408,0.55,0.2205,0.14300000000000002,0.066,23.6865
0190 Norwich University of the Arts Estimated Incoming Inf,0.018,0.06,0.0495,0.1485,0.0525,1.626,0.187,0.15750000000000003,0.044000000000000004,0.011000000000000001,2.3539999999999996
0155 University of Nottingham Estimated Incoming Inf,0.37799999999999995,2.415,1.6994999999999998,5.291999999999999,3.7725,3.7439999999999998,4.5760000000000005,2.3520000000000003,1.1604999999999999,0.44549999999999995,25.834999999999997
0071 The Nottingham Trent University Estimated Incoming Inf,0.336,1.8525,1.694,9.3735,5.2725,4.494,2.4365,1.6030000000000002,0.7095,0.275,28.046499999999995
0001 The Open University Estimated Incoming Inf,0.0,0.0075,0.0055000000000000005,0.009,0.0075,0.036,0.0605,0.11900000000000001,0.0055000000000000005,0.0,0.25049999999999994
0072 Oxford Brookes University Estimated Incoming Inf,0.072,0.345,0.20350000000000001,0.495,1.5825,1.14,1.331,4.298000000000001,2.4034999999999997,0.341,12.211500000000001
0156 The University of Oxford Estimated Incoming Inf,0.33,1.4175,0.66,0.5489999999999999,1.47,1.6740000000000002,4.2955000000000005,3.3040000000000003,1.639,0.40700000000000003,15.746
0230 Plymouth College of Art Estimated Incoming Inf,0.006,0.03,0.0165,0.026999999999999996,0.0675,0.06,0.044000000000000004,0.09450000000000001,1.0175,0.055,1.418
0073 University of Plymouth Estimated Incoming Inf,0.078,0.435,0.198,0.306,1.005,0.81,0.8745,1.372,12.589500000000001,0.6545000000000001,18.322499999999998
0074 The University of Portsmouth Estimated Incoming Inf,0.066,0.225,0.1265,0.3105,0.7275,1.9140000000000001,3.806,6.926500000000001,1.804,0.297,16.203000000000003
"0100 Queen Margaret University, Edinburgh Estimated Incoming Inf",0.066,0.1575,0.044000000000000004,0.0315,0.045,0.048,0.08800000000000001,0.045500000000000006,0.0605,0.0385,0.6245
0139 Queen Mary University of London Estimated Incoming Inf,0.12,0.54,0.2475,0.2475,0.57,1.416,9.1135,0.9835,0.5005,0.1705,13.908999999999999
0030 Ravensbourne University London Estimated Incoming Inf,0.012,0.0525,0.022000000000000002,0.0405,0.06,0.36,1.3915,0.24150000000000002,0.077,0.0055000000000000005,2.2624999999999997
0157 The University of Reading Estimated Incoming Inf,0.066,0.3525,0.20350000000000001,0.39149999999999996,0.9975,1.584,2.4695,3.4020000000000006,1.8094999999999999,0.5555,11.831500000000002
0104 The Robert Gordon University Estimated Incoming Inf,0.012,0.0225,0.0165,0.009,0.015,0.024,0.0385,0.0105,0.011000000000000001,0.0055000000000000005,0.1645
0031 Roehampton University Estimated Incoming Inf,0.024,0.36,0.08800000000000001,0.26099999999999995,1.59,0.834,8.074,0.9450000000000002,0.2365,0.033,12.4455
0032 Rose Bruford College of Theatre and Performance Estimated Incoming Inf,0.012,0.0675,0.0385,0.026999999999999996,0.0525,0.072,0.1375,0.0805,0.055,0.022000000000000002,0.5645000000000001
0033 Royal Academy of Music Estimated Incoming Inf,0.006,0.06,0.022000000000000002,0.0315,0.0225,0.05399999999999999,0.1265,0.059500000000000004,0.055,0.033,0.47
0195 Royal Agricultural University Estimated Incoming Inf,0.018,0.0525,0.0495,0.0765,0.135,0.156,0.066,0.133,0.3245,0.033,1.044
0003 Royal College of Art Estimated Incoming Inf,0.006,0.03,0.0165,0.013499999999999998,0.0375,0.06,0.451,0.059500000000000004,0.044000000000000004,0.0165,0.7345000000000002
0034 Royal College of Music Estimated Incoming Inf,0.006,0.0525,0.0165,0.018,0.03,0.05399999999999999,0.14300000000000002,0.045500000000000006,0.0385,0.022000000000000002,0.42600000000000005
0101 Royal Conservatoire of Scotland Estimated Incoming Inf,0.012,0.045,0.0275,0.013499999999999998,0.015,0.024,0.033,0.021,0.0165,0.0165,0.22400000000000003
0010 The Royal Central School of Speech and Drama Estimated Incoming Inf,0.012,0.0525,0.033,0.0315,0.0525,0.10799999999999998,0.253,0.1015,0.07150000000000001,0.0165,0.732
0141 Royal Holloway and Bedford New College Estimated Incoming Inf,0.048,0.21,0.132,0.144,0.345,0.99,3.2944999999999998,1.8060000000000003,0.6545000000000001,0.132,7.756
0035 Royal Northern College of Music Estimated Incoming Inf,0.018,0.2475,0.0605,0.0405,0.06,0.048,0.055,0.045500000000000006,0.033,0.0495,0.6575000000000001
0143 The Royal Veterinary College Estimated Incoming Inf,0.036,0.15,0.1045,0.1035,0.12,0.39,0.35200000000000004,0.28700000000000003,0.20350000000000001,0.066,1.8125000000000002
0173 The University of St Andrews Estimated Incoming Inf,0.15,0.48,0.231,0.1575,0.21,0.36,0.528,0.38500000000000006,0.1925,0.0825,2.7765
"0145 St George's, University of London Estimated Incoming Inf",0.03,0.1275,0.055,0.063,0.1575,0.324,2.805,0.6405000000000001,0.14300000000000002,0.0495,4.395
0194 St Mary's University College Estimated Incoming Inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"0039 St Mary's University, Twickenham Estimated Incoming Inf",0.048,0.0975,0.0605,0.05399999999999999,0.0975,0.486,2.805,0.8645,0.1925,0.044000000000000004,4.749499999999999
0158 The University of Salford Estimated Incoming Inf,0.366,21.0,1.3255000000000001,0.5219999999999999,0.975,0.282,0.275,0.22750000000000004,0.20350000000000001,0.3685,25.544999999999998
0146 SOAS University of London Estimated Incoming Inf,0.03,0.0975,0.055,0.0495,0.1125,0.24599999999999997,1.9140000000000001,0.24150000000000002,0.1375,0.0385,2.922
0175 SRUC Estimated Incoming Inf,0.006,0.0075,0.0,0.0,0.0,0.006,0.0055000000000000005,0.0,0.0055000000000000005,0.0,0.030500000000000003
0075 Sheffield Hallam University Estimated Incoming Inf,0.672,4.1475,14.333,5.409,2.055,1.296,0.5225,0.462,0.40149999999999997,0.187,29.485500000000002
0159 The University of Sheffield Estimated Incoming Inf,0.708,4.02,5.5,2.3804999999999996,2.1825,2.082,1.6005,1.2670000000000001,0.9295,0.319,20.988999999999997
0037 Solent University Estimated Incoming Inf,0.036,0.15,0.08800000000000001,0.16649999999999998,0.3375,0.7559999999999999,0.8634999999999999,3.0275000000000007,1.5895,0.14300000000000002,7.157500000000001
0160 The University of Southampton Estimated Incoming Inf,0.09,0.3825,0.1925,0.315,0.9,1.65,3.102,4.907,2.6014999999999997,0.44549999999999995,14.586
0077 Staffordshire University Estimated Incoming Inf,0.084,2.31,0.3135,0.612,10.47,0.42,0.3245,0.3115,0.28600000000000003,0.275,15.4065
0174 The University of Stirling Estimated Incoming Inf,0.18,0.2325,0.099,0.058499999999999996,0.0525,0.096,0.121,0.09100000000000001,0.077,0.033,1.0405
0014 University of St Mark and St John Estimated Incoming Inf,0.006,0.06,0.0385,0.036,0.0825,0.078,0.1485,0.1365,2.233,0.077,2.896
0193 Stranmillis University College Estimated Incoming Inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0055000000000000005,0.0,0.0,0.0,0.0055000000000000005
0169 The University of Strathclyde Estimated Incoming Inf,0.072,0.2175,0.0825,0.0405,0.0825,0.114,0.121,0.084,0.066,0.0385,0.9185000000000001
0210 University of Suffolk Estimated Incoming Inf,0.012,0.0375,0.0275,0.05399999999999999,0.0375,5.274,1.9855,0.11900000000000001,0.0385,0.0055000000000000005,7.591
0078 The University of Sunderland Estimated Incoming Inf,9.72,0.2175,0.319,0.072,0.075,0.33,2.695,0.12250000000000001,0.0385,0.0165,13.606000000000002
0161 The University of Surrey Estimated Incoming Inf,0.078,0.3,0.14300000000000002,0.2025,0.3825,1.092,3.3,3.6120000000000005,0.8085,0.1815,10.100000000000001
0162 The University of Sussex Estimated Incoming Inf,0.072,0.2325,0.1375,0.18899999999999997,0.3825,1.494,3.762,4.095000000000001,1.0395,0.154,11.558000000000002
0180 Swansea University Estimated Incoming Inf,0.036,0.5625,0.1705,0.297,1.3725,0.66,1.0725,1.3615000000000002,2.2825,10.12,17.935
0079 Teesside University Estimated Incoming Inf,14.765999999999998,0.5775,1.65,0.17099999999999999,0.24,0.21599999999999997,0.22,0.1295,0.0935,0.0935,18.156999999999996
0041 Trinity Laban Conservatoire of Music and Dance Estimated Incoming Inf,0.018,0.0675,0.044000000000000004,0.045,0.06,0.114,0.2475,0.1295,0.1045,0.022000000000000002,0.852
0176 University of Wales Trinity Saint David Estimated Incoming Inf,0.018,0.0825,0.044000000000000004,0.045,1.515,0.192,1.232,0.161,0.198,7.524,11.0115
0196 University of the Highlands and Islands Estimated Incoming Inf,0.006,0.0525,0.022000000000000002,0.009,0.0225,0.024,0.033,0.021,0.044000000000000004,0.0165,0.2505
0185 Ulster University Estimated Incoming Inf,0.03,0.0975,0.033,0.0225,0.0675,0.042,0.3135,0.0315,0.033,0.011000000000000001,0.6815
0149 University College London Estimated Incoming Inf,0.204,0.9975,0.4675,0.4635,0.9525,2.484,12.5015,2.212,1.1055,0.341,21.729
0090 University of South Wales Estimated Incoming Inf,0.06,0.2775,0.1485,0.1575,0.6825,0.258,0.2585,0.40950000000000003,1.5125,16.549500000000002,20.314
0186 The University of Wales (central functions) Estimated Incoming Inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0163 The University of Warwick Estimated Incoming Inf,0.18599999999999997,1.0875,0.5665,1.0395,5.1525,1.902,3.8114999999999997,1.8095,1.0835,0.40149999999999997,17.04
"0081 University of the West of England, Bristol Estimated Incoming Inf",0.102,0.5025,0.2475,0.37799999999999995,1.9875,0.7859999999999999,1.155,2.338,16.1425,2.508,26.147
0105 The University of the West of Scotland Estimated Incoming Inf,0.03,0.045,0.022000000000000002,0.018,0.03,0.042,0.341,0.028000000000000004,0.0275,0.011000000000000001,0.5945
0080 The University of West London Estimated Incoming Inf,0.06,0.1725,0.1045,0.135,0.255,0.588,5.896,1.4595000000000002,0.2915,0.0935,9.055499999999999
0083 The University of Westminster Estimated Incoming Inf,0.072,0.2925,0.132,0.1575,0.3225,1.212,9.5645,0.931,0.275,0.07150000000000001,13.0305
0021 The University of Winchester Estimated Incoming Inf,0.03,0.0825,0.0605,0.11699999999999999,0.2325,0.54,0.45649999999999996,3.073,1.5125,0.077,6.181500000000001
0085 The University of Wolverhampton Estimated Incoming Inf,0.15,0.42,0.20350000000000001,0.5805,22.1475,0.294,0.6435,0.23800000000000002,0.363,0.1375,25.1775
0046 University of Worcester Estimated Incoming Inf,0.036,0.2025,0.1045,0.22949999999999998,9.33,0.3,0.2805,0.30800000000000005,1.3805,0.39049999999999996,12.562
0189 Writtle University College Estimated Incoming Inf,0.0,0.015,0.0165,0.013499999999999998,0.03,0.486,0.07150000000000001,0.07350000000000001,0.0275,0.0055000000000000005,0.739
0013 York St John University Estimated Incoming Inf,1.3019999999999998,0.9225,3.6245,0.4365,0.24,0.282,0.066,0.07,0.066,0.055,7.0645
0164 The University of York Estimated Incoming Inf,1.11,2.595,3.8169999999999997,1.089,1.2825,2.004,1.485,1.2425000000000002,0.6765000000000001,0.2695,15.571000000000002
Total Estimated Incoming Inf,72.108,260.6175,130.218,94.15799999999999,219.9525,165.55200000000002,326.0345,153.776,131.406,97.427,1651.2495
